loc_num,loc_name,date,temp,l_temp,h_temp,rain_per_day,accum_rain,wind,dew,humidity,steam_pressure,sunshine_time,sunshine,ground_surface_temp
112,인천,2015-06-07,20.81428571,17.01428571,25.18571429,0,0,2.9,14.12857143,68.32857143,16.25714286,10.04285714,19.64142857,25.71428571
112,인천,2015-06-08,21,17.5,25.37142857,0,0,2.871428571,14.68571429,69.85714286,16.9,9.185714286,19.04571429,26.11428571
112,인천,2015-06-09,20.81428571,17.45714286,25.02857143,0,0,2.914285714,15.18571429,73.12857143,17.52857143,8.842857143,18.91571429,25.91428571
112,인천,2015-06-10,20.84285714,17.41428571,25.25714286,0,0,2.4,16.31428571,77.61428571,18.78571429,8.614285714,18.48142857,26.18571429
112,인천,2015-06-11,21.02857143,17.75714286,25.32857143,3.1,3.1,2.571428571,17.07142857,80.28571429,19.68571429,7.628571429,16.71571429,25.9
112,인천,2015-06-12,21.3,17.77142857,25.95714286,0.1,3.2,2.714285714,17.7,82.12857143,20.44285714,8.714285714,18.47571429,26.54285714
112,인천,2015-06-13,21.61428571,18.18571429,26.12857143,0.8,0.9,2.785714286,18.6,84.71428571,21.6,8.257142857,17.67142857,26.4
112,인천,2015-06-14,21.58571429,18.14285714,25.87142857,10.7,11.5,2.714285714,19.21428571,87.71428571,22.4,7.985714286,17.23857143,26.38571429
112,인천,2015-06-15,21.8,18.32857143,26.17142857,0,0,2.757142857,19.6,88.71428571,22.92857143,8.4,17.43571429,26.62857143
112,인천,2015-06-16,21.97142857,18.32857143,26.55714286,0,0,2.7,19.71428571,88.44285714,23.1,8.557142857,17.7,27.21428571
112,인천,2015-06-17,21.94285714,18.57142857,26.27142857,0,0,2.728571429,19.95714286,89.65714286,23.44285714,7.857142857,16.86857143,26.77142857
112,인천,2015-06-18,22.11428571,18.58571429,26.51428571,0,0,2.628571429,20.15714286,89.64285714,23.71428571,8.585714286,17.84,27.24285714
112,인천,2015-06-19,22.51428571,19.11428571,26.8,0,0,2.585714286,20.27142857,88.28571429,23.85714286,8.714285714,17.76857143,27.64285714
112,인천,2015-06-20,21.95714286,18.84285714,25.95714286,28.8,28.8,2.342857143,20.05714286,90.15714286,23.51428571,7.528571429,16.08,26.81428571
112,인천,2015-06-21,21.92857143,18.67142857,26.2,0,0,2.285714286,19.9,89.51428571,23.51666667,8.328571429,16.89142857,26.77142857
112,인천,2015-06-22,21.85714286,18.58571429,26.1,0,0,2.3,19.64285714,88.48571429,23.08333333,8.685714286,17.68857143,26.54285714
112,인천,2015-06-23,22.05714286,18.78571429,26.27142857,0,0,2.3,19.72857143,87.92857143,23.23333333,9.042857143,17.75142857,26.18571429
112,인천,2015-06-24,22.25714286,18.88571429,26.55714286,0,0,2.271428571,19.65714286,86.7,23.11666667,9.871428571,18.40285714,26.25714286
112,인천,2015-06-25,22.08571429,18.9,26.18571429,1.7,1.7,2.142857143,19.82857143,88.47142857,23.45,8.885714286,17.51714286,25.57142857
112,인천,2015-06-26,21.61428571,18.48571429,25.65714286,17.9,19.6,2.428571429,19.74285714,90.34285714,23.31666667,7.614285714,16.37,24.84285714
112,인천,2015-06-27,22.3,18.82857143,26.61428571,0,0,2.671428571,19.9,87.68571429,23.6,9.6,18.89857143,25.67142857
112,인천,2015-06-28,22.58571429,19.3,26.58571429,0,0,2.728571429,20.28571429,88.18571429,23.91428571,9.571428571,18.93285714,25.61428571
112,인천,2015-06-29,22.78571429,19.47142857,26.71428571,0.1,0.1,2.742857143,20.71428571,89.44285714,24.55714286,9.571428571,18.86285714,25.6
112,인천,2015-06-30,22.97142857,19.77142857,26.74285714,0,0,2.757142857,20.88571429,89.4,24.8,8.457142857,18.13714286,25.62857143
112,인천,2015-07-01,22.82857143,19.88571429,26.27142857,0,0,3.114285714,20.94285714,90.27142857,24.87142857,8.371428571,18.47714286,25.55714286
112,인천,2015-07-02,22.72857143,19.88571429,26.3,0,0,3.3,20.87142857,90.42857143,24.74285714,9.485714286,19.65857143,25.77142857
112,인천,2015-07-03,22.81428571,19.91428571,26.45714286,0,0,2.971428571,20.81428571,89.82857143,24.68571429,10.95714286,20.93714286,25.88571429
112,인천,2015-07-04,22.57142857,19.58571429,26.3,0,0,2.842857143,20.61428571,90.07142857,24.41428571,10.8,21.06571429,25.97142857
112,인천,2015-07-05,22.45714286,19.52857143,26.37142857,0,0,2.871428571,20.28571429,89,23.94285714,10.5,20.80285714,25.97142857
